app_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,sicname1,co2,ch4,n2o,hfcs,pfcs,sf6,nf3,tot2,tot,cause,check_yn,cityno,townno
111,85066002,中華紙漿股份有限公司台東廠,0003,V7500777,台東縣,臺東市,中興路4段371號,1513,紙板製造業,113783.2864,1408.6075,831.1518,192.2880,0.0000,0.0000,0.00,48016.8896,164232.223,依法申報,是,,
111,85066002,中華紙漿股份有限公司久堂廠,0001,S2100223,高雄市,大樹區,高雄市大樹區久堂里久堂路112號,1512,紙張製造業,384867.9849,268.1975,1898.1408,402.9840,0.0000,0.0000,0.00,30671.0712,418108.378,依法申報,是,,
111,84980915,巧新科技工業股份有限公司二廠,0001,P46A0069,雲林縣,斗六市,雲林縣斗六市虎溪里雲科路三段39、41號,2549,其他金屬加工處理業,10303.7795,185.3450,11.3240,147.3257,0.0000,0.0000,0.00,31816.5646,42464.339,依法申報,是,,
111,84613756,中龍鋼鐵股份有限公司,0001,L0200633,台中市,龍井區,麗水里龍昌路100號,2411,鋼鐵冶鍊業,8808508.8514,650.6200,80.0428,1228.3460,0.0000,0.0000,0.00,160232.1439,8970700.004,依法申報,是,,
111,84570243,翔新企業股份有限公司,0001,H4204264,桃園市,桃園區,興邦路43巷1號,1140,印染整理業,17202.1595,127.3750,81.8308,11.9016,0.0000,0.0000,0.00,3381.7410,20805.008,依法申報,是,,
111,84526079,大園汽電共生股份有限公司,0001,H4702336,桃園市,大園區,北港里潮音北路276號,3510,電力供應業,584568.3559,143.5850,1917.1234,0.0000,0.0000,0.0000,0.00,6011.2800,592640.344,依法申報,是,,
111,84252697,榮剛材料科技股份有限公司柳營廠,0001,R92A0659,台南市,柳營區,台南市柳營區脚腿仔大道13號,2412,鋼鐵鑄造業,30007.0477,22.0325,19.1912,12.9894,0.0000,0.0000,0.00,10934.8950,40996.156,依法申報,是,,
111,84252697,榮剛材料科技股份有限公司新營廠,0000,R8400827,台南市,新營區,新中路35號,2411,鋼鐵冶鍊業,78292.7306,136.9825,88.7444,12.6674,0.0000,0.0000,0.00,76606.9920,155138.117,依法申報,是,,
111,84149884,昇陽國際半導體(股)公司,0001,O1706923,新竹市,東區,力行路6號6樓,2611,積體電路製造業,17.7620,70.0450,0.2384,50.0844,5076.7796,0.0000,0.00,19860.1162,25075.026,依法申報,是,,
111,84149786,晶元光電股份有限公司H1廠,0003,B9503488,台中市,大雅區,臺中市大雅區科雅路二二號(部份使用),2642,發光二極體製造業,514.8351,16.0725,579.5802,113.0750,12158.1018,0.0000,0.00,29485.2591,42866.924,依法申報,是,,
111,84149786,晶元光電股份有限公司南科三廠,0002,R90A0302,台南市,善化區,南科八路11號,2649,其他光電材料及元件製造業,528.6431,13.7975,73.2484,0.0000,1277.9897,0.0000,0.00,29172.9022,31066.581,依法申報,是,,
111,84149786,晶元光電股份有限公司南科一廠,0001,R03A0658,台南市,新市區,大順九路10、16號,2649,其他光電材料及元件製造業,527.5151,21.9025,1028.9046,536.5133,21445.9833,0.0000,0.00,30260.8469,53821.666,依法申報,是,,
